,Corr,p-value
mla,-0.002176089641573035,0.33558202273817966
truro,-0.0021754774796333824,0.33571799041438743
mouse,-0.0021749322258725764,0.33583912694252555
personel,-0.002174412547769303,0.3359546076225542
managercirencester,-0.0021741924576737866,0.33600352281545354
butterfly,-0.0021735519601626197,0.33614589996154276
swan,-0.0021731312951809097,0.33623943133124634
harborough,-0.002173131295180907,0.33623943133124634
em18,-0.0021720147661357624,0.33648776349930354
northamptonshire,-0.0021707714624574106,0.3367644309796302
leaderedinburgh,-0.002170477572108879,0.33682985061371573
cork,-0.0021689282526767073,0.337174862319456
ballymena,-0.0021688611960632397,0.3371898000086303
wah,-0.002168427980073108,0.3372863145202713
immediatly,-0.0021684279800730805,0.3372863145202713
homecarer,-0.00216817178106865,0.3373434004502332
tracking,-0.002167981349451802,0.3373858362038988
right,-0.002167301286607459,0.33753740929906395
branch,-0.0021662503244813487,0.33777173485286116
childrenswear,-0.0021624162419120957,0.3386274788263185
bell,-0.0021620230049612583,0.33871532554737804
moon,-0.0021620230049612483,0.33871532554737804
stairlift,-0.0021620230049612466,0.33871532554737804
echannel,-0.0021620230049612366,0.33871532554737804
sparky,-0.0021620230049612037,0.3387153255473973
laborer,-0.002161894905458958,0.3387439453419114
ccab,-0.002161368990618304,0.33886146071588075
moderator,-0.002160825509070349,0.3389829288521651
crewmanarmy,-0.002160101512427663,0.33914478550703625
highlevel,-0.0021581800198941384,0.3395745946502106
stepney,-0.0021581800198941362,0.3395745946502106
kcc,-0.0021581800198941336,0.3395745946502106
opertaive,-0.0021581800198941297,0.3395745946502106
cylinder,-0.0021581800198941254,0.3395745946502106
showrounds,-0.0021581800198941237,0.3395745946502106
opieki,-0.002158180019894123,0.3395745946502106
domu,-0.002158180019894123,0.3395745946502106
opiekun,-0.002158180019894123,0.3395745946502106
hgvii,-0.0021581800198941176,0.3395745946502106
30am1230pm,-0.0021581800198941163,0.3395745946502106
senor,-0.0021581800198941137,0.3395745946502106
estart,-0.0021581800198941133,0.3395745946502106
clippersaw,-0.0021581800198941085,0.3395745946502106
newhaven,-0.0021581800198941063,0.3395745946502106
sawston,-0.0021581800198941063,0.3395745946502106
yardsperson,-0.002158180019894106,0.3395745946502106
cheflive,-0.002158180019894103,0.3395745946502106
inchef,-0.002158180019894103,0.3395745946502106
lega,-0.002158180019894103,0.3395745946502106
dglriver,-0.0021581800198940985,0.3395745946502106
denbigshire,-0.002158180019894097,0.3395745946502106
lgvce,-0.0021581800198940963,0.3395745946502106
burwell,-0.0021581800198940903,0.3395745946502106
disabilitites,-0.00215818001989409,0.3395745946502106
forming,-0.00215818001989409,0.3395745946502106
vinyl,-0.00215818001989409,0.3395745946502106
dustcart,-0.002158180019894086,0.3395745946502106
spvsr,-0.002158180019894086,0.3395745946502106
coordintaor,-0.002158180019894083,0.3395745946502106
fibreglasser,-0.0021581800198940825,0.3395745946502106
workercranleigh,-0.0021581800198940742,0.3395745946502106
bookkeeping,-0.0021581800198940734,0.3395745946502106
admim,-0.0021581800198940734,0.3395745946502106
locomotive,-0.0021580965597957015,0.3395932713319856
itn,-0.002157196741810436,0.33979467429370697
bought,-0.0021562459595653835,0.3400075675899536
buchanan,-0.002155618029849381,0.3401482166182817
committee,-0.002155178350510976,0.34024672191220007
publication,-0.002153170616103192,0.3406967649297094
warwickshire,-0.0021529641518173094,0.340743066457421
ccds,-0.0021517674832710544,0.3410115099301459
domicliary,-0.0021517674832710523,0.3410115099301459
ox,-0.002151767483271049,0.3410115099301459
personfrench,-0.0021517674832710466,0.3410115099301459
coarmagh,-0.0021517674832710466,0.3410115099301459
imm,-0.0021502139285328684,0.34136021409309925
radlett,-0.0021492426480644667,0.3415783393955615
llantarnam,-0.0021484444577240707,0.3417576597552389
hmcts,-0.002148316358221806,0.34178644402655234
lease,-0.0021469301713013893,0.3420980227911084
hplc,-0.002146370914026569,0.3422237806908854
thurrock,-0.002145839880514272,0.3423432193983489
forwarding,-0.0021436378883617664,0.34283877027144655
crispin,-0.0021434485771368193,0.3428813955093857
superviosrs,-0.002142808079625578,0.34302563478972903
wic,-0.0021428080796255726,0.34302563478972903
lidl,-0.0021427094574717922,0.3430478478312502
facst,-0.0021418467820841364,0.3432421906196641
alevel,-0.002141784314373566,0.3432562660315998
rlo,-0.00213908624715203,0.34386455420547324
container,-0.002136706771346834,0.34440158567498114
kotebens,-0.0021361519652792864,0.3445268785202181
bletchingdon,-0.0021361519652792855,0.3445268785202181
registere,-0.0021361519652792842,0.3445268785202181
lorry,-0.00213473088137528,0.34484793708310424
classteacher,-0.0021335608656722336,0.34511241623271366
hamlet,-0.0021328884638892017,0.34526446948795714
aerial,-0.002131919621935408,0.34548363320632647
grp,-0.0021305234571366927,0.3457996184289597
ald,-0.0021302543284063466,0.3458605498058682
strating,-0.0021299981294018934,0.34591856022360673
dysart,-0.002129998129401889,0.34591856022360673
6k,-0.002129998129401884,0.34591856022360673
documentary,-0.0021299981294018817,0.34591856022360673
budding,-0.002129998129401878,0.34591856022360673
69months,-0.002129998129401876,0.34591856022360673
rosettesboutique,-0.002129998129401869,0.34591856022360673
unitup,-0.002129998129401866,0.34591856022360673
fakenham,-0.0021299981294018618,0.34591856022360673
englishgerman,-0.0021299981294018613,0.34591856022360673
englishitalian,-0.002129998129401861,0.34591856022360673
dublinfuture,-0.002129998129401861,0.34591856022360673
streetliverpool,-0.0021299981294018553,0.34591856022360673
norwegianspeaking,-0.002129998129401853,0.34591856022360673
streetsheffield,-0.002129998129401853,0.34591856022360673
wihtin,-0.0021299981294018518,0.34591856022360673
honeymoon,-0.0021299981294018496,0.34591856022360673
excellen,-0.0021299981294018474,0.34591856022360673
macdonald,-0.0021299981294018466,0.34591856022360673
roxburghe,-0.0021299981294018466,0.34591856022360673
seller,-0.002129998129401845,0.34591856022360673
commvercial,-0.0021299981294018444,0.34591856022360673
stoney,-0.002129998129401842,0.34591856022360673
spencer,-0.0021299981294018388,0.34591856022360673
helensburgh,-0.002129998129401836,0.34591856022360673
polar,-0.002129998129401832,0.34591856022360673
surveyornottingham,-0.0021299981294018314,0.34591856022360673
wick,-0.00212999812940183,0.34591856022360673
juicy,-0.0021299981294018292,0.34591856022360673
croupier,-0.0021299981294018206,0.34591856022360673
enthusiast,-0.0021299981294018197,0.34591856022360673
meridian,-0.0021299981294018184,0.34591856022360673
assisatant,-0.0021299981294018145,0.34591856022360673
frere,-0.002128216616192866,0.34632211464995555
specarmy,-0.002128204736370567,0.3463248067128498
bricklayerarmy,-0.0021282047363705547,0.3463248067128498
draughtsmanarmy,-0.002128204736370547,0.3463248067128498
mechanicarmy,-0.002128204736370545,0.3463248067128498
nursearmy,-0.002128204736370513,0.3463248067128498
driverarmy,-0.0021282047363705104,0.3463248067128498
techarmy,-0.0021282047363705074,0.3463248067128498
electricianarmy,-0.002128204736370502,0.3463248067128498
watch,-0.0021261993004345198,0.3467794457129378
prelitigated,-0.0021235931542899905,0.3473708351137257
dagenham,-0.0021222747254160314,0.3476702586312293
promotionslincoln,-0.0021212873632497054,0.3478946022648976
worcestershire,-0.0021207354671932592,0.34802004150421817
jarrow,-0.0021203903719674267,0.3480984920436624
brunei,-0.0021200643929734976,0.34817260722040827
aquarist,-0.0021198782687251046,0.34821492926355474
interviewing,-0.0021193310399681975,0.348339380347885
transcriptionist,-0.0021180848756937776,0.3486228892171854
vaw,-0.0021178286766892923,0.3486811939907003
advisorromford,-0.002117188179178122,0.3488269830328288
tnt,-0.002117188179178116,0.3488269830328288
advisorbarkingside,-0.0021171881791780655,0.3488269830379101
leeds,-0.002115092205730999,0.3493043358560778
estonian,-0.0021137237749139903,0.3496162163169745
automative,-0.002111912169754128,0.350029372872279
sdp,-0.0021098865075505555,0.3504917141777366
westlands,-0.0021098865075505555,0.3504917141777366
bedford,-0.0021095306454490324,0.3505729768544002
fridge,-0.0021084701199503963,0.3508152233488961
literature,-0.0021074148796000414,0.3510563679180957
biggleswade,-0.002107172166062298,0.35111184791627387
roof,-0.0021068422270419857,0.3511872750044397
splicer,-0.002106567934532538,0.3512499886155798
spinningfields,-0.002106477354274553,0.35127070023642726
mnager,-0.0021064773542745514,0.35127070023642726
junio,-0.0021064773542745514,0.35127070023642726
feltham,-0.0021064773542745505,0.35127070023642726
laae,-0.0021064773542745496,0.3512707002313546
tradesuffolk,-0.002106477354274549,0.3512707002313546
gulidford,-0.0021064773542745488,0.3512707002313546
walled,-0.0021064773542745488,0.3512707002313546
cashiering,-0.0021064773542745488,0.3512707002313546
cps,-0.0021064773542745488,0.3512707002313546
associateldnmed,-0.0021064773542745483,0.3512707002313546
diector,-0.0021064773542745483,0.3512707002313546
aspire,-0.002106477354274548,0.3512707002313546
techsupport,-0.0021064773542745475,0.3512707002313546
shortlisting,-0.0021064773542745475,0.3512707002313546
consultan,-0.002106477354274547,0.3512707002313546
qas,-0.002106477354274546,0.3512707002313546
mults,-0.002106477354274546,0.3512707002313546
alfriston,-0.002106477354274546,0.3512707002313546
driv,-0.0021064773542745457,0.3512707002313546
ulr,-0.002106477354274545,0.3512707002313546
hanger,-0.002106477354274544,0.3512707002313546
brayford,-0.0021064773542745427,0.3512707002313546
cdeveloper,-0.0021064773542745384,0.3512707002313546
oxford,-0.002105026458338783,0.35160256016801095
electricals,-0.002103610154965868,0.3519266993032434
representation,-0.0021018577611168973,0.3523280188561543
3days,-0.0020991726353776783,0.35294350710366046
collier,-0.00209917263537767,0.3529435070933863
chefmiltons,-0.0020991726353776696,0.3529435070933863
keynesnew,-0.0020991726353776696,0.3529435070933863
englishspeaking,-0.002099172635377668,0.3529435070933863
coowned,-0.002099172635377666,0.3529435070933863
pas,-0.002098876800738453,0.3530113602905
rec,-0.0020983332326978137,0.353136055594736
automobile,-0.0020979732538424912,0.353218650602069
bedbank,-0.0020979732538424704,0.3532186506072193
milngavie,-0.002097973253842468,0.3532186506072193
propety,-0.002097973253842467,0.3532186506072193
yeadon,-0.0020979732538424557,0.3532186506072193
bridgeport,-0.0020966922588201344,0.3535126663660673
carersdrivers,-0.002096692258820091,0.3535126663660673
administratror,-0.002096692258820089,0.3535126663660673
sheffiled,-0.0020966922588200746,0.35351266636094564
portlethen,-0.0020946426667843273,0.35398341329089456
lawworks,-0.0020945145672820313,0.3540128481225
cyngor,-0.0020945145672820313,0.3540128481225
cyreithiol,-0.0020945145672820313,0.3540128481225
twickenham,-0.0020923954026281135,0.35450001623888444
doctorate,-0.002091568278730584,0.35469027596485586
collar,-0.0020905715113040636,0.3549196437095097
borden,-0.0020904153832104347,0.3549555790850205
chaucer,-0.0020904153832104243,0.3549555790850205
neighbourhood,-0.0020892472460472046,0.35522451731452326
educ,-0.0020888781891836286,0.35530951136907146
twentyfour,-0.0020883703645600184,0.35542648470828103
greenwich,-0.002087890311218198,0.3555370834945876
eastwood,-0.002087339249809156,0.3556640684911749
intranet,-0.002086399915735889,0.35588059185622267
settors,-0.0020843947066053158,0.35634308525232294
funclub,-0.0020843947066052824,0.35634308525232294
jr,-0.0020829167766951364,0.3566842062266446
establishment,-0.0020783243603813466,0.35774549420169977
japanese,-0.002077699003083576,0.35789016522191813
perthshire,-0.002077452853880244,0.3579471198148478
edgbaston,-0.0020758130121045597,0.3583266958882658
electronisc,-0.002072097154390529,0.3591877462052154
homebuy,-0.00207209715439049,0.3591877462052154
besc,-0.002069589171456371,0.3597696383221266
pharmacy,-0.002068997264539427,0.35990705649042104
yddog,-0.002068766567332345,0.35996062449665645
cynulleidfa,-0.002068766567332345,0.35996062449665645
lesson,-0.0020687665673323175,0.35996062449665645
rhallt,-0.0020678901643695347,0.36016417132270606
aylesford,-0.00206722937330545,0.3603176895049288
valve,-0.0020668357858251757,0.3604091491594011
fishery,-0.0020665002625372855,0.3604871277013982
promonitor,-0.002066259719725653,0.36054303846643304
34,-0.0020661060127916426,0.36057876830378705
gener,-0.0020659483782831385,0.3606154134405476
ag,-0.0020659483782831333,0.3606154134405476
internslondon,-0.0020659483782831255,0.3606154134405476
bbq,-0.0020659483782831233,0.3606154134405476
spervisor,-0.0020659483782831216,0.3606154134405476
140,-0.0020659483782831194,0.3606154134405476
pia,-0.0020659483782831185,0.3606154134405476
partiewarwickshire,-0.002065948378283118,0.3606154134405476
marylebone,-0.0020659483782831177,0.3606154134405476
partiemichelin,-0.0020659483782831164,0.3606154134405476
pawiltshire,-0.0020659483782831164,0.3606154134405476
embassy,-0.0020659483782831155,0.3606154134405476
adminfulham,-0.0020659483782831155,0.3606154134405476
managerpvcu,-0.002065948378283115,0.3606154134405476
businessdevelopment,-0.002065948378283115,0.3606154134405476
grinsteadup,-0.0020659483782831146,0.3606154134405476
supporteast,-0.0020659483782831146,0.3606154134405476
managercontinental,-0.0020659483782831103,0.3606154134405476
magnificent,-0.0020659483782831086,0.3606154134405476
partei,-0.002065948378283108,0.3606154134405476
sailing,-0.0020659483782831047,0.3606154134405476
consultantuncapped,-0.0020659483782831042,0.3606154134405476
admionistrator,-0.0020659483782831034,0.3606154134405476
2016,-0.0020659483782831025,0.3606154134405476
pricerunner,-0.0020659483782830995,0.3606154134405476
profiler,-0.002065948378283099,0.3606154134405476
packhorse,-0.002065948378283099,0.3606154134405476
bep,-0.0020659483782830986,0.3606154134405476
managerfast,-0.0020659483782830977,0.3606154134405476
fashionleicester,-0.0020659483782830977,0.3606154134405476
educated,-0.0020659483782830973,0.3606154134405476
preauthorisation,-0.002065948378283096,0.3606154134405476
audiotypist,-0.0020659483782830878,0.3606154134405476
chanter,-0.0020659483782830873,0.3606154134405476
anyone,-0.002065948378283087,0.3606154134405476
cirencest,-0.002065948378283085,0.3606154134405476
cooked,-0.0020659483782830843,0.3606154134405476
enterprising,-0.0020659483782830826,0.3606154134405476
scrc,-0.0020659483782830826,0.3606154134405476
crick,-0.002065948378283082,0.3606154134405476
illustr,-0.002065948378283082,0.3606154134405476
colombo,-0.0020659483782830786,0.3606154134405476
accountantbangor,-0.0020659483782830765,0.3606154134405476
stewardess,-0.0020659483782830765,0.3606154134405476
chem,-0.0020659483782830747,0.3606154134405476
telemarkeing,-0.0020659483782830734,0.3606154134405476
gorseinon,-0.002065948378283072,0.3606154134405476
controller12,-0.002065948378283071,0.3606154134405476
liitigation,-0.002065948378283067,0.3606154134405476
frema,-0.0020659483782830665,0.3606154134405476
vpe,-0.0020659483782830656,0.3606154134405476
extranet,-0.002065948378283065,0.3606154134405476
quaint,-0.0020659483782830648,0.3606154134405476
partieamazing,-0.0020659483782830635,0.3606154134405476
executivebournemouth,-0.0020659483782830626,0.3606154134405476
peta,-0.0020659483782830617,0.3606154134405476
berkhampstead,-0.002065948378283059,0.3606154134405476
rosettesurrey,-0.002065948378283059,0.3606154134405476
moredun,-0.002065948378283059,0.3606154134405476
biosafety,-0.002065948378283059,0.3606154134405476
invivo,-0.002065948378283059,0.3606154134405476
xtrainee,-0.0020659483782830587,0.3606154134405476
proofreader,-0.002065321556734199,0.3607611531307191
algal,-0.0020653078807718944,0.3607643332872623
affiliate,-0.002064791613452437,0.36088439687991336
dynol,-0.002063386388238326,0.36121132427667285
chyfrifon,-0.002063386388238326,0.36121132427667285
adnoddau,-0.002063386388238326,0.36121132427667285
suppport,-0.0020621933054760606,0.3614890422045962
strength,-0.002062193305476052,0.3614890422045962
galleon,-0.002062193305476048,0.3614890422045962
nissan,-0.0020621933054760476,0.3614890422045962
grow,-0.0020611872252780427,0.36172333492306863
gloucestershire,-0.002058846527736904,0.36226879724020794
toy,-0.002057725379414548,0.3625302454139283
airfreight,-0.002057176086338255,0.36265838190948324
ar,-0.00205654017653984,0.3628067593622067
wrexham,-0.0020561032079065974,0.36290873970673443
chartwell,-0.0020546756220862113,0.36324203670858923
religious,-0.002054090321328962,0.3633787416214254
biochemist,-0.0020526142880605788,0.3637236321209921
forester,-0.0020499359405034404,0.3643499784445925
knottingley,-0.0020499359405034274,0.3643499784445925
turnpike,-0.0020499359405034274,0.3643499784445925
blua,-0.0020479300092226633,0.3648195177734359
volks,-0.002047630149463152,0.3648897400608251
emedia,-0.002047630149463105,0.36488974005019176
people,-0.002045268676291756,0.36544305374064834
chatteris,-0.002045245099871273,0.36544858054453333
craftsman,-0.0020394279226821957,0.36681384162893166
flushing,-0.0020385421607797957,0.3670220039218899
tavistock,-0.0020385265343390254,0.3670256769356901
phor,-0.0020367416917729435,0.36744535774960324
respected,-0.00203669245426616,0.36745693950955005
batley,-0.0020363985763117974,0.3675260708215898
185,-0.0020352044977461218,0.36780704699987016
excvator,-0.0020352044977461135,0.36780704699987016
platter,-0.002035204497746109,0.36780704699987016
opporutinities,-0.0020352044977461057,0.36780704699987016
eldery,-0.002035204497746097,0.36780704699987016
leyton,-0.002035204497746085,0.36780704699987016
linkbuilder,-0.002035204497746081,0.36780704699987016
stewart,-0.002035204497746076,0.36780704699987016
concreters,-0.002035204497746075,0.36780704699987016
flattener,-0.002035204497746074,0.36780704699987016
finanace,-0.0020352044977460706,0.36780704699987016
cranleight,-0.002035204497746065,0.36780704699987016
birkenhead,-0.002034652875949373,0.36793689316512496
advisorstate,-0.0020339235027237207,0.3681086240113447
dealersurrey,-0.0020339235027237207,0.3681086240113447
demis,-0.0020339235027237025,0.3681086240113447
europlacer,-0.0020336673037192462,0.368168957888761
slough,-0.0020305326660338572,0.3689076512542202
adm35,-0.002030208617158862,0.3689840675610526
three,-0.0020293737427828458,0.36918099068733884
shopfitter,-0.002026766727240704,0.369796332111162
knaresborough,-0.002025213975574435,0.37016313526387035
asstglobal,-0.0020252139755744304,0.37016313526387035
trainingsw,-0.0020252139755744304,0.37016313526387035
feeearner,-0.002025213975574429,0.37016313526387035
theft,-0.002025213975574429,0.37016313526387035
landfill,-0.0020252139755744265,0.37016313526387035
administraton,-0.0020204730549887645,0.3712844704978921
eor,-0.002020473054988758,0.3712844704978921
diagnostic,-0.002020332816571514,0.371317672117725
artistic,-0.002018270430483176,0.37180615744029644
keynes,-0.002017711395381978,0.37193863601334914
bioacvtive,-0.002015897096281568,0.37236878510241384
commencing,-0.002015897096281567,0.37236878510241384
put,-0.0020158970962815496,0.37236878510241384
carvery,-0.0020158970962815465,0.37236878510241384
deale,-0.0020158970962815465,0.37236878510241384
kexciting,-0.0020158970962815465,0.37236878510241384
periop,-0.0020158970962815465,0.37236878510241384
practitionertheatre,-0.0020158970962815465,0.37236878510241384
ultrasonic,-0.002015897096281546,0.37236878510241384
scalpel,-0.002015897096281546,0.37236878510241384
23000,-0.002015897096281543,0.37236878510241384
mlh,-0.002015897096281543,0.37236878510241384
handlerjunior,-0.00201589709628154,0.37236878510241384
downpatrick,-0.0020137231700897186,0.37288460342627117
avonmouth,-0.002013380590005918,0.37296592945492507
streetworks,-0.002012038422843159,0.3732846560509142
brick,-0.0020105844014706034,0.3736301350751087
cooordinator,-0.002010422243613779,0.37366867644132096
stranraer,-0.002008831836158083,0.3740468117953915
chargehand,-0.002008650675642106,0.37408989955334415
moffet,-0.002008650675642106,0.37408989955334415
gujuarati,-0.002008650675642099,0.37408989955334415
copenhagen,-0.0020082011642085598,0.37419682591702547
library,-0.002006279165930616,0.3746542294695826
planned,-0.0020061331975050863,0.3746889816520423
upholstery,-0.0020054069304651567,0.37486192096444604
huyton,-0.0020050274653223834,0.37495229914073375
task,-0.0020044606172090577,0.3750873318778925
ornithologist,-0.0020041964853986195,0.3751502627604918
orpington,-0.0020025862685611588,0.37553404710301647
warwi,-0.00200189862716438,0.37569801566115557
appointer,-0.002001898627164369,0.37569801566115557
mountbatten,-0.0020018986271643597,0.37569801566115557
pga,-0.002001898627164359,0.37569801566115557
technial,-0.0020018986271643576,0.37569801566115557
nursrey,-0.0020018986271643554,0.37569801566115557
superhero,-0.002001898627164353,0.37569801566115557
juniormarketing,-0.0020018986271643515,0.37569801566115557
opportunityinnovative,-0.0020018986271643515,0.37569801566115557
departmenttechnology,-0.0020018986271643515,0.37569801566115557
suitable,-0.0020018986271643506,0.37569801566115557
supervisorgregynog,-0.0020018986271643437,0.37569801566115557
ashmore,-0.0020018986271643363,0.37569801566115557
spoken,-0.002001898627164334,0.37569801566115557
written,-0.002001898627164334,0.37569801566115557
cserv,-0.002001898627164331,0.37569801566115557
restorer,-0.0020018986271643263,0.37569801566115557
suppot,-0.0020018986271643224,0.37569801566115557
m1410,-0.002001898627164321,0.37569801565573147
opti,-0.0020018986271643207,0.37569801565573147
jcp,-0.0020018986271643207,0.37569801565573147
helpfull,-0.0020018986271643177,0.37569801565573147
partieprivate,-0.002001898627164311,0.37569801565573147
riverhouse,-0.0020018986271643094,0.37569801565573147
garretts,-0.0020018986271643016,0.37569801565573147
cusrtomer,-0.0020018986271643007,0.37569801565573147
stowmarket,-0.0020016173676225706,0.3757650949332766
conservatoire,-0.0020012581296531625,0.3758507824896532
detail,-0.001997972969179445,0.3766349378839991
surgical,-0.0019975144328126583,0.3767444689921249
dryliner,-0.0019970564026189964,0.376853898805783
cradley,-0.001995630511653133,0.37719468957266955
nightclub,-0.0019952123434454007,0.37729466862850647
managerhedge,-0.0019926754630032522,0.3779015567216669
ottershaw,-0.001990534624043505,0.3784141689524483
tape,-0.001990338683321432,0.3784611072824856
proeducation,-0.001989713818868874,0.37861081978281763
techician,-0.0019890886769406008,0.3787606352422422
soccer,-0.0019882346456728353,0.37896536308026474
worcs,-0.001988234645672807,0.3789653630747221
managerleading,-0.0019882346456728066,0.3789653630747221
sainsburys,-0.001987526314432795,0.3791352154373663
blower,-0.001986911413723781,0.37928270184844287
m3,-0.001986245309597359,0.3794425094247581
yates,-0.001986245309597354,0.3794425094247581
malton,-0.0019861867716598324,0.3794565554683033
ottery,-0.001986014288886869,0.3794979441583916
teamleader,-0.0019851827251508563,0.37969752381901933
nordic,-0.0019824130399900344,0.38036272810151744
minterne,-0.00198178700531304,0.3805131840440961
sslu,-0.00198178700531304,0.3805131840440961
caldy,-0.0019811465078018405,0.3806671536802574
eha,-0.0019802886371125834,0.38087343776138444
s2,-0.00197998758406762,0.3809458454209957
tipton,-0.0019790676458170467,0.38116715639015325
wellness,-0.0019751359801846945,0.38211389246656424
fundraise,-0.0019737167366721212,0.38245599697477717
refueller,-0.001973716736672092,0.38245599697477717
foward,-0.0019737167366720852,0.38245599697477717
machanic,-0.0019737167366720735,0.38245599697477717
bradfordonavon,-0.0019737167366720653,0.38245599697480026
ak,-0.001972555409794518,0.38273607106508023
jaguar,-0.001972418572444901,0.382769080039771
severn,-0.001971720907539903,0.382937403326996
heart,-0.001971123522832403,0.3830815683801714
altrincha,-0.001970606967285045,0.383206253979231
casa,-0.001970606967285044,0.383206253979231
burrito,-0.001970606967285044,0.383206253979231
managerbelfastfantastic,-0.0019706069672850417,0.383206253979231
analystexcel,-0.0019706069672850404,0.383206253979231
merch,-0.0019706069672850387,0.383206253979231
hospitalitylondon,-0.0019706069672850357,0.383206253979231
motherwell,-0.0019704008591405727,0.3832560110729839
reprographic,-0.00196987375160497,0.38338327944647255
sunningdale,-0.0019698737516049545,0.38338327944647255
nutritional,-0.0019697449807220026,0.3834143746706193
due,-0.0019693874818428707,0.3835007106136739
rustington,-0.0019645973989571444,0.38465866304720364
given,-0.0019620494609604924,0.38527547064671824
furzefield,-0.001961675383461774,0.3853660785902193
comcat,-0.001959001004577157,0.3860142379925103
dit,-0.0019587290949103307,0.38608017497008423
routeman,-0.0019583447964035775,0.3861733775069752
lighting,-0.0019560080078503176,0.386740406108021
roadfreight,-0.0019557364751545147,0.386806327246827
gala,-0.001955101166080957,0.386960590690363
action,-0.0019548356748682275,0.3870250674160544
oman,-0.00195422018871151,0.3871745685098281
searcys,-0.0019512553157711922,0.38789522707445745
restaurantnorth,-0.0019512553157711898,0.38789522707445745
toolroom,-0.001951255315771189,0.38789522707445745
wadhurst,-0.0019489082778080583,0.388466290484552
signaller,-0.001948117114746908,0.3886589055695639
boat,-0.0019475309338570872,0.38880165359296964
arm,-0.0019467017223598819,0.38900363943932403
seashell,-0.001944638149664053,0.38950657783348824
resin,-0.0019438594497908715,0.38969646699594696
roro,-0.0019429728561350282,0.3899127350239267
detention,-0.0019428447566327497,0.38994398855763784
sighthill,-0.0019384509756975206,0.39101689852021826
longford,-0.001937976975547776,0.39113275085302585
highvalue,-0.0019379769755477744,0.39113275085302585
jct,-0.001937976975547769,0.39113275085302585
hundred,-0.0019379769755477657,0.39113275085302585
chafford,-0.0019379769755477657,0.39113275085302585
applecart,-0.0019379769755477417,0.39113275085302585
lion,-0.0019379769755477206,0.39113275085302585
hotelslough,-0.0019378488760455406,0.39116406374870266
majestic,-0.0019378488760455406,0.39116406374870266
demicdp,-0.0019378488760455406,0.39116406374870266
shredder,-0.0019378488760455402,0.39116406374870266
housegraduate,-0.0019378488760455393,0.39116406374870266
engineeractive,-0.0019378488760455393,0.39116406374870266
gained,-0.0019378488760455385,0.39116406374870266
continue,-0.0019378488760455365,0.39116406374870266
selfstarter,-0.0019378488760455365,0.39116406374870266
hepatocellular,-0.0019378488760455352,0.39116406374870266
translating,-0.0019378488760455352,0.39116406374870266
nokia,-0.001937848876045535,0.39116406374870266
anlaytics,-0.0019378488760455346,0.39116406374870266
revive,-0.001937848876045534,0.39116406374870266
hekpdesk,-0.001937848876045533,0.39116406374870266
4off,-0.001937848876045532,0.39116406374870266
4on,-0.001937848876045532,0.39116406374870266
hazel,-0.0019378488760455315,0.39116406374870266
enticing,-0.0019378488760455315,0.39116406374870266
officefinancial,-0.0019378488760455287,0.39116406374870266
vpb,-0.0019378488760455187,0.39116406374870266
visualizer,-0.0019378488760455187,0.39116406374870266
cfb,-0.0019378488760455187,0.39116406374870266
receptionistromsey,-0.0019378488760455155,0.39116406374870266
molten,-0.0019378488760455079,0.39116406374870266
salt,-0.0019378488760455079,0.39116406374870266
suppl,-0.0019378488760455072,0.39116406374870266
partiebritish,-0.001937848876045506,0.39116406374870266
graduatesjoin,-0.0019378488760455046,0.39116406374870266
faststreamvoted,-0.0019378488760455046,0.39116406374870266
m1323,-0.0019378488760455035,0.39116406374870266
inhp,-0.0019378488760454999,0.39116406374870266
bridal,-0.0019378488760454996,0.39116406374870266
argyle,-0.0019378488760454996,0.39116406374870266
accountantfull,-0.001937848876045498,0.39116406374870266
fashionedinburgh,-0.0019378488760454957,0.39116406374870266
amr,-0.0019378488760454957,0.39116406374870266
hatton,-0.0019378488760454912,0.39116406374870266
resourses,-0.0019378488760454903,0.39116406374870266
requiredsalford,-0.0019378488760454877,0.39116406374870266
cdpw,-0.001937848876045486,0.39116406374870266
dorche,-0.0019378488760454845,0.39116406374870266
elvedon,-0.0019378488760454842,0.39116406374870266
fulfillment,-0.0019378488760454834,0.39116406374870266
barmouth,-0.0019378488760454814,0.39116406374870266
chapelfield,-0.00193784887604548,0.39116406374870266
kidbrooke,-0.0019378488760454795,0.39116406374870266
workbased,-0.0019378488760454751,0.3911640637430216
conultant,-0.0019378488760454715,0.3911640637430216
mangment,-0.0019378488760454715,0.3911640637430216
dazzling,-0.0019378488760454686,0.3911640637430216
photocpier,-0.0019378488760454662,0.3911640637430216
validator,-0.0019378488760454656,0.3911640637430216
graduatesstart,-0.0019378488760454652,0.3911640637430216
playcentre,-0.001937848876045465,0.3911640637430216
mwa,-0.0019378488760454639,0.3911640637430216
advertised,-0.0019378488760454621,0.3911640637430216
rosettebuckinghamshire,-0.0019378488760454608,0.3911640637430216
telesale,-0.0019378488760454604,0.3911640637430216
representivefield,-0.0019378488760454595,0.3911640637430216
fashionnorwich,-0.0019378488760454535,0.3911640637430216
unrivalled,-0.00193784887604545,0.3911640637430216
dscj,-0.0019354185782903943,0.39175841905231107
slateford,-0.0019332372939649197,0.39229234184834133
kingsknowe,-0.0019332372939649197,0.39229234184834133
corstorphine,-0.0019332372939649197,0.39229234184834133
mininmum,-0.0019293943088978277,0.3932340795450693
